YEAR	MONNUM	MONTH	DICTIONARY	FILETYPE
1998	01	jan	1998.01	cps
1998	02	feb	1998.01	cps
1998	03	mar	1998.01	cps
1998	04	apr	1998.01	cps
1998	05	may	1998.01	cps
1998	06	jun	1998.01	cps
1998	07	jul	1998.01	cps
1998	08	aug	1998.01	cps
1998	09	sep	1998.01	cps
1998	10	oct	1998.01	cps
1998	11	nov	1998.01	cps
1998	12	dec	1998.01	cps
1999	01	jan	1998.01	dat
1999	02	feb	1998.01	dat
1999	03	mar	1998.01	dat
1999	04	apr	1998.01	dat
1999	05	may	1998.01	dat
1999	06	jun	1998.01	dat
1999	07	jul	1998.01	dat
1999	08	aug	1998.01	dat
1999	09	sep	1998.01	dat
1999	10	oct	1998.01	cps
1999	11	nov	1998.01	dat
1999	12	dec	1998.01	cps
2000	01	jan	1998.01	dat
2000	02	feb	1998.01	cps
2000	03	mar	1998.01	dat
2000	04	apr	1998.01	dat
2000	05	may	1998.01	dat
2000	06	jun	1998.01	cps
2000	07	jul	1998.01	dat
2000	08	aug	1998.01	cps
2000	09	sep	1998.01	cps
2000	10	oct	1998.01	cps
2000	11	nov	1998.01	cps
2000	12	dec	1998.01	cps
2001	01	jan	1998.01	cps
2001	02	feb	1998.01	cps
2001	03	mar	1998.01	dat
2001	04	apr	1998.01	cps
2001	05	may	1998.01	cps
2001	06	jun	1998.01	cps
2001	07	jul	1998.01	cps
2001	08	aug	1998.01	cps
2001	09	sep	1998.01	cps
2001	10	oct	1998.01	cps
2001	11	nov	1998.01	cps
2001	12	dec	1998.01	cps
2002	01	jan	1998.01	cps
2002	02	feb	1998.01	cps
2002	03	mar	1998.01	cps
2002	04	apr	1998.01	cps
2002	05	may	1998.01	cps
2002	06	jun	1998.01	cps
2002	07	jul	1998.01	cps
2002	08	aug	1998.01	cps
2002	09	sep	1998.01	cps
2002	10	oct	1998.01	cps
2002	11	nov	1998.01	cps
2002	12	dec	1998.01	cps
2003	01	jan	2003.01	cps
2003	02	feb	2003.01	cps
2003	03	mar	2003.01	cps
2003	04	apr	2003.01	cps
2003	05	may	2003.01	cps
2003	06	jun	2003.01	cps
2003	07	jul	2003.01	cps
2003	08	aug	2003.01	cps
2003	09	sep	2003.01	cps
2003	10	oct	2003.01	cps
2003	11	nov	2003.01	cps
2003	12	dec	2003.01	cps
2004	01	jan	2003.01	cps
2004	02	feb	2003.01	cps
2004	03	mar	2003.01	cps
2004	04	apr	2003.01	cps
2004	05	may	2004.05	cps
2004	06	jun	2004.05	cps
2004	07	jul	2004.05	cps
2004	08	aug	2004.05	cps
2004	09	sep	2004.05	cps
2004	10	oct	2004.05	cps
2004	11	nov	2004.05	cps
2004	12	dec	2004.05	cps
2005	01	jan	2004.05	cps
2005	02	feb	2004.05	cps
2005	03	mar	2004.05	cps
2005	04	apr	2004.05	cps
2005	05	may	2004.05	cps
2005	06	jun	2004.05	cps
2005	07	jul	2004.05	cps
2005	08	aug	2005.08	cps
2005	09	sep	2005.08	cps
2005	10	oct	2005.08	cps
2005	11	nov	2005.08	cps
2005	12	dec	2005.08	cps
2006	01	jan	2005.08	cps
2006	02	feb	2005.08	cps
2006	03	mar	2005.08	dat
2006	04	apr	2005.08	dat
2006	05	may	2005.08	dat
2006	06	jun	2005.08	dat
2006	07	jul	2005.08	dat
2006	08	aug	2005.08	dat
2006	09	sep	2005.08	dat
2006	10	oct	2005.08	dat
2006	11	nov	2005.08	dat
2006	12	dec	2005.08	dat
2007	01	jan	2007.01	dat
2007	02	feb	2007.01	dat
2007	03	mar	2007.01	dat
2007	04	apr	2007.01	dat
2007	05	may	2007.01	dat
2007	06	jun	2007.01	dat
2007	07	jul	2007.01	dat
2007	08	aug	2007.01	dat
2007	09	sep	2007.01	dat
2007	10	oct	2007.01	dat
2007	11	nov	2007.01	dat
2007	12	dec	2007.01	dat
2008	01	jan	2007.01	dat
2008	02	feb	2007.01	dat
2008	03	mar	2007.01	dat
2008	04	apr	2007.01	dat
2008	05	may	2007.01	dat
2008	06	jun	2007.01	dat
2008	07	jul	2007.01	dat
2008	08	aug	2007.01	dat
2008	09	sep	2007.01	dat
2008	10	oct	2007.01	dat
2008	11	nov	2007.01	dat
2008	12	dec	2007.01	dat
2009	01	jan	2009.01	dat
2009	02	feb	2009.01	dat
2009	03	mar	2009.01	dat
2009	04	apr	2009.01	dat
2009	05	may	2009.01	dat
2009	06	jun	2009.01	dat
2009	07	jul	2009.01	dat
2009	08	aug	2009.01	dat
2009	09	sep	2009.01	dat
2009	10	oct	2009.01	dat
2009	11	nov	2009.01	dat
2009	12	dec	2009.01	dat
2010	01	jan	2010.01	dat
2010	02	feb	2010.01	dat
2010	03	mar	2010.01	dat
2010	04	apr	2010.01	dat
2010	05	may	2010.01	dat
2010	06	jun	2010.01	dat
2010	07	jul	2010.01	dat
2010	08	aug	2010.01	dat
2010	09	sep	2010.01	dat
2010	10	oct	2010.01	dat
2010	11	nov	2010.01	dat
2010	12	dec	2010.01	dat
2011	01	jan	2010.01	dat
2011	02	feb	2010.01	dat
2011	03	mar	2010.01	dat
2011	04	apr	2010.01	dat
2011	05	may	2010.01	dat
2011	06	jun	2010.01	dat
2011	07	jul	2010.01	dat
2011	08	aug	2010.01	dat
2011	09	sep	2010.01	dat
2011	10	oct	2010.01	dat
2011	11	nov	2010.01	dat
2011	12	dec	2010.01	dat
2012	01	jan	2010.01	dat
2012	02	feb	2010.01	dat
2012	03	mar	2010.01	dat
2012	04	apr	2010.01	dat
2012	05	may	2012.05	dat
2012	06	jun	2012.05	dat
2012	07	jul	2012.05	dat
2012	08	aug	2012.05	dat
2012	09	sep	2012.05	dat
2012	10	oct	2012.05	dat
2012	11	nov	2012.05	dat
2012	12	dec	2012.05	dat
2013	01	jan	2013.01	dat
2013	02	feb	2013.01	dat
2013	03	mar	2013.01	dat
2013	04	apr	2013.01	dat
2013	05	may	2013.01	dat
2013	06	jun	2013.01	dat
2013	07	jul	2013.01	dat
2013	08	aug	2013.01	dat
2013	09	sep	2013.01	dat
2013	10	oct	2013.01	dat
2013	11	nov	2013.01	dat
2013	12	dec	2013.01	dat
2014	01	jan	2014.01	dat
2014	02	feb	2014.01	dat
2014	03	mar	2014.01	dat
2014	04	apr	2014.01	dat
2014	05	may	2014.01	dat
2014	06	jun	2014.01	dat
2014	07	jul	2014.01	dat
2014	08	aug	2014.01	dat
2014	09	sep	2014.01	dat
2014	10	oct	2014.01	dat
2014	11	nov	2014.01	dat
2014	12	dec	2014.01	dat
2015	01	jan	2015.01	dat
2015	02	feb	2015.01	dat
2015	03	mar	2015.01	dat
2015	04	apr	2015.01	dat
2015	05	may	2015.01	dat
2015	06	jun	2015.01	dat
2015	07	jul	2015.01	dat
2015	08	aug	2015.01	dat
2015	09	sep	2015.01	dat
2015	10	oct	2015.01	dat
2015	11	nov	2015.01	dat
2015	12	dec	2015.01	dat
2016	01	jan	2015.01	dat
2016	02	feb	2015.01	dat
2016	03	mar	2015.01	dat
2016	04	apr	2015.01	dat
2016	05	may	2015.01	dat
2016	06	jun	2015.01	dat
2016	07	jul	2015.01	dat
